date	value
2016-05-09	1201
2016-05-10	2329
2016-05-11	1716
2016-05-12	10539
2016-05-13	6933
2016-05-14	3127
2016-05-15	2927
2016-05-16	2591
2016-05-17	3403
2016-05-18	5410
2016-05-19	19736
2016-05-20	17491
2016-05-21	13370
2016-05-22	13158
2016-05-23	13887
2016-05-24	15336
2016-05-25	14779
2016-05-26	18060
2016-05-27	19997
2016-05-28	19044
2016-05-29	20325
2016-05-30	16607
2016-05-31	16616
2016-06-01	13007
2016-06-02	10329
2016-06-03	10155
2016-06-04	7431
2016-06-05	16031
2016-06-06	16621
2016-06-07	18335
2016-06-08	18072
2016-06-09	18139
2016-06-10	17087
2016-06-11	16098
2016-06-12	16147
2016-06-13	17570
2016-06-14	19395
2016-06-15	18584
2016-06-16	17628
2016-06-17	21691
2016-06-18	21681
2016-06-19	19204
2016-06-20	28508
2016-06-21	26805
2016-06-22	21424
2016-06-23	19820
2016-06-24	19230
2016-06-25	21923
2016-06-26	22685
2016-06-27	24278
2016-06-28	21423
2016-06-29	27734
2016-06-30	26696
2016-07-01	28372
2016-07-02	26393
2016-07-03	27011
2016-07-04	24236
2016-07-05	23843
2016-07-06	24374
2016-07-07	28507
2016-07-08	31184
2016-07-09	27404
2016-07-10	26079
2016-07-11	20339
2016-07-12	21510
2016-07-13	20391
2016-07-14	23278
2016-07-15	22815
2016-07-16	20261
2016-07-17	20331
2016-07-18	19703
2016-07-19	15445
2016-07-20	22046
2016-07-21	27290
2016-07-22	28662
2016-07-23	25053
2016-07-24	19733
2016-07-25	25646
2016-07-26	19637
2016-07-27	23587
2016-07-28	25719
2016-07-29	21667
2016-07-30	16002
2016-07-31	16223
2016-08-01	20947
2016-08-02	20345
2016-08-03	24118
2016-08-04	24951
2016-08-05	27880
2016-08-06	20900
2016-08-07	23536
2016-08-08	24471
2016-08-09	24828
2016-08-10	31583
2016-08-11	30393
2016-08-12	29488
2016-08-13	26206
2016-08-14	29686
2016-08-15	32229
2016-08-16	34396
2016-08-17	43003
2016-08-18	35206
2016-08-19	32362
2016-08-20	37583
2016-08-21	36559
2016-08-22	36701
2016-08-23	32726
2016-08-24	29315
2016-08-25	32786
2016-08-26	35489
2016-08-27	36366
2016-08-28	33765
2016-08-29	36915
2016-08-30	39619
2016-08-31	38173
2016-09-01	40709
2016-09-02	37609
2016-09-03	30250
2016-09-04	36077
2016-09-05	35320
2016-09-06	39098
2016-09-07	43401
2016-09-08	40258
2016-09-09	44787
2016-09-10	44586
2016-09-11	39262
2016-09-12	42667
2016-09-13	49746
2016-09-14	43645
2016-09-15	38780
2016-09-16	36125
2016-09-17	31797
2016-09-18	32304
2016-09-19	36840
2016-09-20	37441
2016-09-21	38492
2016-09-22	38324
2016-09-23	44985
2016-09-24	37708
2016-09-25	39081
2016-09-26	41089
2016-09-27	41296
2016-09-28	53158
2016-09-29	70669
2016-09-30	58802
2016-10-01	49179
2016-10-02	44043
2016-10-03	32660
2016-10-04	41797
2016-10-05	39348
2016-10-06	23874
2016-10-07	25963
2016-10-08	23848
2016-10-09	23573
2016-10-10	27459
2016-10-11	27601
2016-10-12	26521
2016-10-13	24865
2016-10-14	24934
2016-10-15	20609
2016-10-16	22301
2016-10-17	26623
2016-10-18	25319
2016-10-19	29076
2016-10-20	23217
2016-10-21	22343
2016-10-22	19571
2016-10-23	20457
2016-10-24	25670
2016-10-25	27317
2016-10-26	26489
2016-10-27	27207
2016-10-28	23258
2016-10-29	22975
2016-10-30	24828
2016-10-31	26423
2016-11-01	25856
2016-11-02	26565
2016-11-03	30183
2016-11-04	28981
2016-11-05	25849
2016-11-06	25287
2016-11-07	27790
2016-11-08	26744
2016-11-09	25489
2016-11-10	117906
2016-11-11	159186
2016-11-12	33775
2016-11-13	22762
2016-11-14	24449
2016-11-15	30817
2016-11-16	33673
2016-11-17	35712
2016-11-18	50298
2016-11-19	42964
2016-11-20	47789
2016-11-21	52663
2016-11-22	51329
2016-11-23	48490
2016-11-24	46822
2016-11-25	29973
2016-11-26	25239
2016-11-27	27955
2016-11-28	31749
2016-11-29	29694
2016-11-30	27470
2016-12-01	32666
2016-12-02	36075
2016-12-03	31115
2016-12-04	23536
